task,crop,dr,seed,split,seconds,ok
regression,Carrot,No Reduction,3,random,16.01474560191855,True
regression,Carrot,PCA,3,random,16.10952677205205,True
regression,Carrot,KernelPCA,3,random,13.120101322885604,True
regression,Carrot,Isomap,3,random,14.619791760109363,True
regression,Carrot,MDS,3,random,15.512636831961572,True
regression,Carrot,BOTCAST,3,random,11.915171546163036,True
classification,Onion,No Reduction,4,random,35.36792134307325,True
classification,Onion,PCA,4,random,40.047978116897866,True
classification,Onion,KernelPCA,4,random,44.61037494800985,True
classification,Onion,Isomap,4,random,34.832489043008536,True
classification,Onion,MDS,4,random,38.2539085210301,True
classification,Onion,BOTCAST,4,random,48.46273832290899,True
classification,Lettuce,No Reduction,4,random,32.783366048010066,True
classification,Lettuce,PCA,4,random,41.21540817397181,True
classification,Lettuce,KernelPCA,4,random,33.22871587891132,True
classification,Lettuce,Isomap,4,random,33.324532223981805,True
classification,Lettuce,MDS,4,random,35.05675003898796,True
classification,Lettuce,BOTCAST,4,random,42.65270127297845,True
classification,Carrot,No Reduction,4,random,39.42438111989759,True
classification,Carrot,PCA,4,random,48.88760743790772,True
classification,Carrot,KernelPCA,4,random,42.92231965996325,True
classification,Carrot,Isomap,4,random,36.21091900405008,True
classification,Carrot,MDS,4,random,29.770649729995057,True
classification,Carrot,BOTCAST,4,random,30.73158010200132,True
regression,Onion,No Reduction,4,random,22.83259744907264,True
regression,Onion,PCA,4,random,23.33121662295889,True
regression,Onion,KernelPCA,4,random,21.315447958069853,True
regression,Onion,Isomap,4,random,24.389055203995667,True
regression,Onion,MDS,4,random,37.51164378004614,True
regression,Onion,BOTCAST,4,random,21.50621713604778,True
regression,Lettuce,No Reduction,4,random,18.38231578900013,True
regression,Lettuce,PCA,4,random,17.082164803054184,True
regression,Lettuce,KernelPCA,4,random,19.0561388770584,True
regression,Lettuce,Isomap,4,random,22.24008726398461,True
regression,Lettuce,MDS,4,random,19.464004405075684,True
regression,Lettuce,BOTCAST,4,random,31.229676072020084,True
regression,Carrot,No Reduction,4,random,16.950014596921392,True
regression,Carrot,PCA,4,random,14.529961351072416,True
regression,Carrot,KernelPCA,4,random,14.18938445695676,True
regression,Carrot,Isomap,4,random,14.65054046001751,True
regression,Carrot,MDS,4,random,15.386586604057811,True
regression,Carrot,BOTCAST,4,random,19.083677740069103,True
classification,Onion,No Reduction,5,random,39.81619981699623,True
classification,Onion,PCA,5,random,36.2040090970695,True
classification,Onion,KernelPCA,5,random,34.62756066210568,True
classification,Onion,Isomap,5,random,34.68688794109039,True
classification,Onion,MDS,5,random,39.05521650100127,True
classification,Onion,BOTCAST,5,random,49.85609265998937,True
classification,Lettuce,No Reduction,5,random,43.04314531502314,True
classification,Lettuce,PCA,5,random,42.29611517302692,True
classification,Lettuce,KernelPCA,5,random,41.17421393399127,True
classification,Lettuce,Isomap,5,random,34.521950480062515,True
classification,Lettuce,MDS,5,random,38.00490398285911,True
classification,Lettuce,BOTCAST,5,random,50.19465019693598,True
classification,Carrot,No Reduction,5,random,36.33636265597306,True
classification,Carrot,PCA,5,random,51.12183792283759,True
classification,Carrot,KernelPCA,5,random,44.58070620102808,True
classification,Carrot,Isomap,5,random,34.2344619508367,True
classification,Carrot,MDS,5,random,28.355699663050476,True
classification,Carrot,BOTCAST,5,random,20.384793553035703,True
regression,Onion,No Reduction,5,random,23.17526090913452,True
regression,Onion,PCA,5,random,34.93833022215404,True
regression,Onion,KernelPCA,5,random,21.13742172718048,True
regression,Onion,Isomap,5,random,26.206939070951197,True
regression,Onion,MDS,5,random,36.08432972896844,True
regression,Onion,BOTCAST,5,random,40.17380458489061,True
regression,Lettuce,No Reduction,5,random,19.24193923012353,True
regression,Lettuce,PCA,5,random,18.752908538095653,True
regression,Lettuce,KernelPCA,5,random,18.30762207088992,True
regression,Lettuce,Isomap,5,random,22.469387261895463,True
regression,Lettuce,MDS,5,random,21.8284241349902,True
regression,Lettuce,BOTCAST,5,random,19.641284947982054,True
regression,Carrot,No Reduction,5,random,16.858653479954228,True
regression,Carrot,PCA,5,random,16.795200789812952,True
regression,Carrot,KernelPCA,5,random,15.56494551897049,True
regression,Carrot,Isomap,5,random,17.362705362960696,True
regression,Carrot,MDS,5,random,14.671433872077614,True
regression,Carrot,BOTCAST,5,random,12.651809466071429,True
classification,Onion,No Reduction,6,random,44.417757984250784,True
classification,Onion,PCA,6,random,50.17395095387474,True
classification,Onion,KernelPCA,6,random,46.69597000814974,True
classification,Onion,Isomap,6,random,39.982063382864,True
classification,Onion,MDS,6,random,42.125474096275866,True
classification,Onion,BOTCAST,6,random,57.10281832702458,True
classification,Lettuce,No Reduction,6,random,40.7777148373425,True
classification,Lettuce,PCA,6,random,47.02187933400273,True
classification,Lettuce,KernelPCA,6,random,38.7418533959426,True
classification,Lettuce,Isomap,6,random,37.86857964610681,True
classification,Lettuce,MDS,6,random,40.18747219024226,True
classification,Lettuce,BOTCAST,6,random,59.18111247010529,True
classification,Carrot,No Reduction,6,random,41.22690572589636,True
classification,Carrot,PCA,6,random,46.69939180882648,True
classification,Carrot,KernelPCA,6,random,40.20043575624004,True
classification,Carrot,Isomap,6,random,37.92313313717023,True
classification,Carrot,MDS,6,random,20.92878442490473,True
classification,Carrot,BOTCAST,6,random,22.726748100016263,True
regression,Onion,No Reduction,6,random,26.73965376196429,True
regression,Onion,PCA,6,random,27.84259691881016,True
regression,Onion,KernelPCA,6,random,30.718695813324302,True
regression,Onion,Isomap,6,random,25.851732944138348,True
regression,Onion,MDS,6,random,33.296926917973906,True
regression,Onion,BOTCAST,6,random,17.420724298805,True
regression,Lettuce,No Reduction,6,random,19.669224875979125,True
regression,Lettuce,PCA,6,random,21.02758585102856,True
regression,Lettuce,KernelPCA,6,random,20.297389090061188,True
regression,Lettuce,Isomap,6,random,20.61709152208641,True
regression,Lettuce,MDS,6,random,20.055529283825308,True
regression,Lettuce,BOTCAST,6,random,30.73898317106068,True
regression,Carrot,No Reduction,6,random,15.250268115662038,True
regression,Carrot,PCA,6,random,15.390463743824512,True
regression,Carrot,KernelPCA,6,random,13.145073015708476,True
regression,Carrot,Isomap,6,random,16.577292177826166,True
regression,Carrot,MDS,6,random,14.830641956068575,True
regression,Carrot,BOTCAST,6,random,13.48559619858861,True
classification,Onion,No Reduction,7,random,36.61408104095608,True
classification,Onion,PCA,7,random,38.533491091104224,True
classification,Onion,KernelPCA,7,random,37.56232315092348,True
classification,Onion,Isomap,7,random,36.28560252999887,True
classification,Onion,MDS,7,random,39.64480844396167,True
classification,Onion,BOTCAST,7,random,55.01113743591122,True
classification,Lettuce,No Reduction,7,random,33.212278885999694,True
classification,Lettuce,PCA,7,random,42.6067479478661,True
classification,Lettuce,KernelPCA,7,random,43.35185284679756,True
classification,Lettuce,Isomap,7,random,35.96015739790164,True
classification,Lettuce,MDS,7,random,34.111982950009406,True
classification,Lettuce,BOTCAST,7,random,47.22773280716501,True
classification,Carrot,No Reduction,7,random,32.54279949492775,True
classification,Carrot,PCA,7,random,42.28045138018206,True
classification,Carrot,KernelPCA,7,random,32.44901231280528,True
classification,Carrot,Isomap,7,random,33.86686992296018,True
classification,Carrot,MDS,7,random,20.914397811051455,True
classification,Carrot,BOTCAST,7,random,26.81061517284252,True
regression,Onion,No Reduction,7,random,21.230483690975237,True
regression,Onion,PCA,7,random,19.575264986837283,True
regression,Onion,KernelPCA,7,random,19.65395321301185,True
regression,Onion,Isomap,7,random,23.796821834985167,True
regression,Onion,MDS,7,random,24.954070588108152,True
regression,Onion,BOTCAST,7,random,16.81291372398846,True
regression,Lettuce,No Reduction,7,random,21.6352602429688,True
regression,Lettuce,PCA,7,random,19.39512965711765,True
regression,Lettuce,KernelPCA,7,random,21.812439047032967,True
regression,Lettuce,Isomap,7,random,22.1551374681294,True
regression,Lettuce,MDS,7,random,20.617957361973826,True
regression,Lettuce,BOTCAST,7,random,20.066456479020417,True
regression,Carrot,No Reduction,7,random,14.234472681069748,True
regression,Carrot,PCA,7,random,13.450451771030204,True
regression,Carrot,KernelPCA,7,random,14.740236275829377,True
regression,Carrot,Isomap,7,random,14.030354415997865,True
regression,Carrot,MDS,7,random,14.15665268083103,True
regression,Carrot,BOTCAST,7,random,25.42344758613035,True
