task,crop,dr,model,published,new,delta
regression,Onion,PCA,Decision tree,0.0536,0.43840278709385255,0.3848
regression,Carrot,PCA,Random forest,0.2515,0.21539220116899127,-0.0361
regression,Lettuce,PCA,Random forest,0.7375,0.7142688130967677,-0.0232
regression,Onion,PCA,Random forest,0.4558,0.4961295672864366,0.0403
regression,Carrot,PCA,k-NN,0.2212,0.19811589717864989,-0.0231
regression,Lettuce,PCA,k-NN,0.7328,0.6941501200199127,-0.0386
regression,Onion,PCA,k-NN,0.5129,0.4787932574748993,-0.0341
regression,Carrot,PCA,MLP,0.1798,0.22199960350990292,0.0422
regression,Lettuce,PCA,MLP,0.5846,0.676610666513443,0.092
regression,Onion,PCA,MLP,0.394,0.47340713143348695,0.0794
regression,Carrot,PCA,LSTM,0.1968,0.22822321057319636,0.0314
regression,Lettuce,PCA,LSTM,0.6123,0.6855119884014129,0.0732
regression,Onion,PCA,LSTM,0.3566,0.5003107011318206,0.1437
regression,Carrot,PCA,RNN GRU,0.2034,0.22816939949989315,0.0248
regression,Lettuce,PCA,RNN GRU,0.7276,0.6880641877651215,-0.0395
regression,Onion,PCA,RNN GRU,0.4583,0.4908279895782471,0.0325
regression,Carrot,MDS,Decision tree,0.1022,0.21396041915743588,0.1118
regression,Lettuce,MDS,Decision tree,0.2941,0.6558099852005677,0.3617
regression,Onion,MDS,Decision tree,0.1066,0.3995568606148424,0.293
regression,Carrot,MDS,Random forest,0.15,0.23892823398513338,0.0889
regression,Lettuce,MDS,Random forest,0.7282,0.7018914339818184,-0.0263
regression,Onion,MDS,Random forest,0.4873,0.49794515890966606,0.0106
regression,Carrot,MDS,k-NN,0.1362,0.20834444165229793,0.0721
regression,Lettuce,MDS,k-NN,0.7676,0.7041957676410675,-0.0634
regression,Onion,MDS,k-NN,0.5005,0.4745023787021637,-0.026
regression,Carrot,MDS,MLP,0.1966,0.23007991313934326,0.0335
regression,Lettuce,MDS,MLP,0.6136,0.6870694816112518,0.0735
regression,Onion,MDS,MLP,0.4079,0.46203007102012633,0.0541
regression,Carrot,MDS,LSTM,0.1828,0.23586906194686885,0.0531
regression,Lettuce,MDS,LSTM,0.6059,0.681663703918457,0.0758
regression,Onion,MDS,LSTM,0.3776,0.4912735164165497,0.1137
regression,Carrot,MDS,RNN GRU,0.2005,0.22273618578910823,0.0222
regression,Lettuce,MDS,RNN GRU,0.7246,0.690064799785614,-0.0345
regression,Onion,MDS,RNN GRU,0.4709,0.49843048453330996,0.0275
regression,Carrot,Isomap,Decision tree,0.0613,0.10763551037360938,0.0463
regression,Lettuce,Isomap,Decision tree,0.1121,0.6221155180408313,0.51
regression,Onion,Isomap,Decision tree,0.0617,0.334754312933963,0.2731
regression,Carrot,Isomap,Random forest,0.0963,0.207292673219971,0.111
regression,Lettuce,Isomap,Random forest,0.721,0.7176468254447393,-0.0034
regression,Onion,Isomap,Random forest,0.3963,0.49174005670675064,0.0954
regression,Carrot,Isomap,k-NN,0.1374,0.19338371753692624,0.056
regression,Lettuce,Isomap,k-NN,0.724,0.7018020272254943,-0.0222
regression,Onion,Isomap,k-NN,0.4846,0.46870813369750974,-0.0159
regression,Carrot,Isomap,MLP,0.1753,0.11151478886604305,-0.0638
regression,Lettuce,Isomap,MLP,0.5786,0.6940203428268432,0.1154
regression,Onion,Isomap,MLP,0.4036,0.4568622887134552,0.0533
regression,Carrot,Isomap,LSTM,0.2144,0.13226389884948728,-0.0821
regression,Lettuce,Isomap,LSTM,0.654,0.6812724709510803,0.0273
regression,Onion,Isomap,LSTM,0.4131,0.48211209774017333,0.069
regression,Carrot,Isomap,RNN GRU,0.1813,0.17873703241348263,-0.0026
regression,Lettuce,Isomap,RNN GRU,0.7101,0.6790883958339691,-0.031
regression,Onion,Isomap,RNN GRU,0.4502,0.4893816351890564,0.0392
regression,Carrot,KernelPCA,Decision tree,0.1315,0.17056345271331896,0.0391
regression,Lettuce,KernelPCA,Decision tree,0.3876,0.6611712287391585,0.2736
regression,Onion,KernelPCA,Decision tree,0.036,0.40630557203411766,0.3703
regression,Carrot,KernelPCA,Random forest,0.0404,0.21838573156201363,0.178
regression,Lettuce,KernelPCA,Random forest,0.7265,0.7229177154778441,-0.0036
