split,task,crop,dr,model,seq_len,score_mean,score_ci,score_std,fit_seconds,predict_seconds,n_components,epochs,n_runs
random,classification,Onion,PCA,Decision tree,1,0.7751828949873198,0.02738939652707219,0.04419024324645603,3.2806368247023783,9.309847955591094e-05,18,0.0,10
random,classification,Onion,PCA,LSTM,1,0.8034484854961292,0.015854778824231038,0.02558021065447781,10.797034687374254,0.3776062326913234,18,58.1,10
random,classification,Onion,PCA,MLP,1,0.798099595339807,0.024342066893658382,0.03927366037762254,21.667050319851842,0.13006660669343542,18,27.8,10
random,classification,Onion,PCA,RNN GRU,1,0.7967523719729819,0.020857313836233946,0.03365133550787931,3.2706770299118944,0.00075660791480908,18,29.8,10
random,classification,Onion,PCA,Random forest,1,0.8040738815649077,0.020032984268919963,0.03232135643883172,3.312374327989528,0.0014848103048279398,18,0.0,10
random,classification,Onion,PCA,k-NN,1,0.8033557521553119,0.02120476730718465,0.03421191935947901,3.2765013275959065,0.00404731583548705,18,0.0,10
random,regression,Carrot,BOTCAST,Decision tree,1,0.24465577192854315,0.04871970747529968,0.07860471559136663,1.9583893692237324,7.442252826876939e-05,7,0.0,10
random,regression,Carrot,BOTCAST,LSTM,1,0.20427892804145809,0.03754545503789749,0.06057609883020387,6.609122933394974,0.31145808082656,7,61.0,10
random,regression,Carrot,BOTCAST,MLP,1,0.2185842931270599,0.06481973183201441,0.10458060709718592,2.2692083090369124,0.09005957807530646,7,15.5,10
random,regression,Carrot,BOTCAST,RNN GRU,7,0.22200763821601868,0.05594913731379128,0.09026872807810984,1.3031503797101323,0.00155654600821432,7,37.1,10
random,regression,Carrot,BOTCAST,Random forest,1,0.23097878066295272,0.0390681944573431,0.06303289722222968,1.9753725188435056,0.0016700556967407,7,0.0,10
random,regression,Carrot,BOTCAST,k-NN,1,0.15141463279724116,0.03167164175135471,0.05109924753630874,1.9581869720190297,0.00049765910371201,7,0.0,10
random,regression,Carrot,Isomap,Decision tree,1,0.10763551037360938,0.04578167274396488,0.07386446987927538,2.373060896453292,7.96196109149605e-05,22,0.0,10
random,regression,Carrot,Isomap,LSTM,1,-0.011252474784851108,0.13121414513152296,0.21170181624872786,5.333172776584979,0.3384560322912875,22,34.2,10
random,regression,Carrot,Isomap,MLP,1,0.017862153053283675,0.11819047554104321,0.1906893369633256,2.6221750526630787,0.09488198891049246,22,17.4,10
random,regression,Carrot,Isomap,RNN GRU,1,0.20987919569015498,0.054630352061646376,0.08814099076106016,0.5564769773103763,0.00042377863428549997,22,18.8,10
random,regression,Carrot,Isomap,Random forest,1,0.201037879684485,0.042006051982589505,0.06777285702878288,2.3977493785864983,0.00196695659542452,22,0.0,10
random,regression,Carrot,Isomap,k-NN,1,0.19692705273628233,0.06821056121159207,0.11005139485049253,2.371316817381497,0.00043415560503488,22,0.0,10
random,regression,Carrot,KernelPCA,Decision tree,1,0.16484747707432454,0.07136987479991862,0.11514865341265144,2.1232066800216365,7.686750614084303e-05,22,0.0,10
random,regression,Carrot,KernelPCA,LSTM,1,-0.01559550166130064,0.08828052257694148,0.14243241039441445,5.155659356305842,0.4019920939870644,22,26.3,10
random,regression,Carrot,KernelPCA,MLP,1,0.16408809423446655,0.0876468117788593,0.14140997697615793,2.7212461691116916,0.09538720050477419,22,15.3,10
random,regression,Carrot,KernelPCA,RNN GRU,1,0.22553084492683406,0.04618228820918617,0.07451082566294234,0.26416991562000475,0.00026428772252979,22,25.6,10
random,regression,Carrot,KernelPCA,Random forest,1,0.21811645138899602,0.042291762737745923,0.06823382475240584,2.139288256891693,0.00149627286591561,22,0.0,10
random,regression,Carrot,KernelPCA,k-NN,1,0.20048083662986754,0.0673560354851531,0.10867269708786141,2.1221198890688053,0.00042953106458295,22,0.0,10
random,regression,Carrot,MDS,Decision tree,1,0.21396041915743588,0.06726448328241273,0.10852498612588941,2.3639233990223145,8.108647307381034e-05,22,0.0,10
random,regression,Carrot,MDS,LSTM,1,0.04587920904159544,0.0635259461567453,0.10249320427170153,4.531141378288157,0.3358902779116761,22,23.2,10
random,regression,Carrot,MDS,MLP,1,0.17460077404975888,0.055011698166537414,0.088756257224473,2.419946453650482,0.09473021750454788,22,15.5,10
random,regression,Carrot,MDS,RNN GRU,1,0.22927746772766108,0.05648853079437036,0.09113898927896479,0.7439305685460568,0.00042137569980689997,22,26.1,10
random,regression,Carrot,MDS,Random forest,1,0.2363941570054801,0.04685599057036973,0.07559778174782675,2.3847679063503167,0.00173577622044826,22,0.0,10
random,regression,Carrot,MDS,k-NN,1,0.2102596521377563,0.07230182423611377,0.11665226712820577,2.362157288537128,0.00040620074141767,22,0.0,10
random,regression,Carrot,No Reduction,Decision tree,1,0.22936672047671464,0.0489837624585714,0.07903074374170148,2.1106492616837693,8.564950549043715e-05,134,0.0,10
random,regression,Carrot,No Reduction,LSTM,1,-0.024257266521453873,0.16812339793473943,0.27125146195950267,5.541471177624771,0.4398387910623569,134,26.7,10
random,regression,Carrot,No Reduction,MLP,1,0.1874098598957062,0.09090062011588673,0.1466596940244495,2.8871776411833707,0.10538166913902385,134,15.5,10
random,regression,Carrot,No Reduction,RNN GRU,1,0.21896452903747554,0.050254607144105644,0.08108113341446097,0.599215512763476,0.0005038711067754099,134,22.8,10
random,regression,Carrot,No Reduction,Random forest,1,0.2330880037132172,0.049892711075229884,0.08049724777471173,2.1244325495751886,0.00138434072141532,134,0.0,10
random,regression,Carrot,No Reduction,k-NN,1,0.1960104465484619,0.06562477056899407,0.10587946220612517,2.1093113680622384,0.00054855243652123,134,0.0,10
random,regression,Carrot,PCA,Decision tree,1,0.19704221211493608,0.03431310057955809,0.0553609956193098,2.109667949535651,7.993162726052105e-05,11,0.0,10
random,regression,Carrot,PCA,LSTM,1,0.0824096620082855,0.07716627446348935,0.12450060502771126,5.4316004763182715,0.3444361464004032,11,28.4,10
random,regression,Carrot,PCA,MLP,1,0.21147404909133907,0.04892855683046573,0.07894167459656161,2.719137598160887,0.09769886778085488,11,14.8,10
random,regression,Carrot,PCA,RNN GRU,1,0.22150505185127253,0.06030287433142164,0.0972930777256101,0.6485931789444294,0.00041317860595878,11,25.5,10
random,regression,Carrot,PCA,Random forest,1,0.2315079268165643,0.04619405952490268,0.0745298175857592,2.1268860163749195,0.00158581029390911,11,0.0,10
random,regression,Carrot,PCA,k-NN,1,0.19712371826171873,0.0703180618979838,0.11345165114608749,2.1092400666617324,0.0006881815032101499,11,0.0,10
random,regression,Lettuce,BOTCAST,Decision tree,1,0.4374331325540831,0.019416927250953526,0.03132740575245151,2.0266678010753822,8.197053684852037e-05,5,0.0,10
random,regression,Lettuce,BOTCAST,LSTM,1,0.4383996605873108,0.019248718675742512,0.03105601686488083,12.25918600067962,0.38661122333141973,5,101.3,10
random,regression,Lettuce,BOTCAST,MLP,1,0.4890851259231567,0.02173977395720572,0.03507510281733773,3.50658774675685,0.11113551812013607,5,18.3,10
random,regression,Lettuce,BOTCAST,RNN GRU,7,0.6718711137771607,0.030242028736369442,0.04879269993428126,1.8123384255217387,0.0019421937409787801,5,36.8,10
random,regression,Lettuce,BOTCAST,Random forest,1,0.5061059991092526,0.017711259418452658,0.02857546938388759,2.0347810856532305,0.0008822853793389599,5,0.0,10
random,regression,Lettuce,BOTCAST,k-NN,1,0.5224736750125885,0.0499591386599802,0.08060442250291314,2.0263992000196596,0.0005140345427207,5,0.0,10
random,regression,Lettuce,Isomap,Decision tree,1,0.6289375685777587,0.04499010318369349,0.07258734603391029,2.6901984403899406,9.955270797943668e-05,22,0.0,10
random,regression,Lettuce,Isomap,LSTM,1,0.6547864496707916,0.03429152336372926,0.05532618278890973,9.34408379237866,0.4767476435925346,22,52.5,10
random,regression,Lettuce,Isomap,MLP,1,0.6885173738002777,0.02440762698357154,0.039379435483607755,3.56680646398454,0.13626201880397273,22,17.9,10
random,regression,Lettuce,Isomap,RNN GRU,1,0.6900513529777527,0.0346693314435964,0.05593574097809084,0.9893908197002019,0.00049643327365623,22,24.4,10
random,regression,Lettuce,Isomap,Random forest,1,0.6890103893934689,0.03681811449990228,0.0594026025370217,2.7224947268667163,0.0022549346205778,22,0.0,10
random,regression,Lettuce,Isomap,k-NN,1,0.7018291592597962,0.0324219781069924,0.052309845441944065,2.6870305568911137,0.00051255637663411,22,0.0,10
random,regression,Lettuce,KernelPCA,Decision tree,1,0.6865772592404594,0.03281523745235466,0.0529443328105622,2.3301960682554634,9.084765915758137e-05,22,0.0,10
random,regression,Lettuce,KernelPCA,LSTM,1,0.6562504708766937,0.037984423623629776,0.06128433380580433,9.403145018772921,0.475501261203317,22,51.3,10
random,regression,Lettuce,KernelPCA,MLP,1,0.6838105082511902,0.02941806205050625,0.047463306340695455,3.4017252986726816,0.13127166068879884,22,17.5,10
random,regression,Lettuce,KernelPCA,RNN GRU,1,0.67763751745224,0.03944135668559306,0.0636349597620325,0.33167015834478664,0.00029194079106668,22,23.8,10
random,regression,Lettuce,KernelPCA,Random forest,1,0.7096478166449461,0.03205454988871593,0.05171703419379548,2.354862817731919,0.0019129797990898902,22,0.0,10
random,regression,Lettuce,KernelPCA,k-NN,1,0.7049143612384796,0.032938800783155975,0.0531436907496484,2.3277955997502433,0.00050917722983281,22,0.0,10
random,regression,Lettuce,MDS,Decision tree,1,0.6558099852005677,0.04641256361807964,0.07488235361254944,2.704019729977396,9.676572517490046e-05,22,0.0,10
random,regression,Lettuce,MDS,LSTM,1,0.6526889979839325,0.04024270789905456,0.06492786539482746,8.426599536446156,0.41742661226307975,22,46.1,10
random,regression,Lettuce,MDS,MLP,1,0.6826570928096771,0.03928336081240883,0.06338004811908898,3.574428739846917,0.10723729586461557,22,18.4,10
random,regression,Lettuce,MDS,RNN GRU,1,0.6850664258003235,0.032553837204152135,0.052522587828290085,0.8700108339078725,0.0004960921360179299,22,19.9,10
random,regression,Lettuce,MDS,Random forest,1,0.7035068592946422,0.035301686136890074,0.05695598644743023,2.732104778334421,0.00202394309453662,22,0.0,10
random,regression,Lettuce,MDS,k-NN,1,0.6998930037021637,0.036925877369692335,0.05957646790219141,2.700921962815725,0.00051522950525391,22,0.0,10
random,regression,Lettuce,No Reduction,Decision tree,1,0.69044669121546,0.03669193794421267,0.05919902840268787,2.199906052802301,9.383262949994721e-05,132,0.0,10
random,regression,Lettuce,No Reduction,LSTM,1,0.653352802991867,0.03908619445115113,0.06306193853769003,8.319644267455441,0.5204294787719845,132,42.2,10
random,regression,Lettuce,No Reduction,MLP,1,0.6820741713047027,0.03221265717960156,0.05197212559883497,3.4107245411549227,0.13120626743766475,132,17.0,10
